"","ArrivalDate","MODALPRICE","arrivalquantity","T","RA"
"411",2016-10-08,13400,1.8,NA,NA
"412",2016-10-11,13400,1.6,NA,NA
"413",2016-10-12,13400,0.9,NA,NA
"414",2016-10-13,13400,1.4,NA,NA
"415",2016-10-14,13400,0.8,NA,NA
"416",2016-10-15,13400,2.5,NA,NA
"417",2016-10-17,13400,1.1,NA,NA
"418",2016-10-18,13400,0.7,NA,NA
"419",2016-10-19,13400,1.9,NA,NA
"420",2016-10-20,13400,1.3,NA,NA
"421",2016-10-21,13400,1.7,NA,NA
"422",2016-10-22,13400,2.1,NA,NA
"423",2016-10-24,13400,2.6,NA,NA
"424",2016-10-25,13400,1,NA,NA
"425",2016-10-26,13400,3,NA,NA
"426",2016-10-27,13400,1.4,NA,NA
"427",2016-10-28,13400,2,NA,NA
"428",2016-10-29,13400,2.5,NA,NA
"429",2016-10-31,11000,3,NA,NA
"430",2016-11-01,11000,1.3,NA,NA
"431",2016-11-02,11000,2,NA,NA
"432",2016-11-03,11000,1.7,NA,NA
"433",2016-11-04,11000,2.1,NA,NA
"434",2016-11-05,11000,1,NA,NA
"435",2016-11-07,11000,2.3,NA,NA
"436",2016-11-08,11000,1.1,NA,NA
"437",2016-11-09,11000,3,NA,NA
"438",2016-11-10,11000,1.3,NA,NA
"439",2016-11-11,11000,1.8,NA,NA
"440",2016-11-12,11000,2.5,NA,NA
"441",2016-11-14,11000,1,NA,NA
"442",2016-11-15,11000,2.8,NA,NA
"443",2016-11-16,11000,1.2,NA,NA
"444",2016-11-17,11000,1.7,NA,NA
"445",2016-11-18,11000,2.1,NA,NA
"446",2016-11-19,11000,1.3,NA,NA
"447",2016-11-21,11000,2,NA,NA
"448",2016-11-22,11000,1.1,NA,NA
"449",2016-11-23,11000,1.4,NA,NA
"450",2016-11-24,11000,2.2,NA,NA
"451",2016-11-25,11000,1,NA,NA
"452",2016-11-26,11000,1.5,NA,NA
"453",2016-11-28,11000,0.9,NA,NA
"454",2016-11-29,11000,1.3,NA,NA
"455",2016-11-30,11000,1.5,NA,NA
"456",2016-12-01,11000,2.1,NA,NA
"457",2016-12-02,11000,1,NA,NA
"458",2016-12-03,11000,1.3,NA,NA
"459",2016-12-05,11000,1.4,NA,NA
"460",2016-12-06,11000,0.8,NA,NA
"461",2016-12-07,11000,1.7,NA,NA
"462",2016-12-08,11000,1.1,NA,NA
"463",2016-12-09,11000,1.9,NA,NA
"464",2016-12-10,11000,0.7,NA,NA
"465",2016-12-12,11000,1.8,NA,NA
"466",2016-12-13,11000,1.3,NA,NA
"467",2016-12-14,11000,0.8,NA,NA
"468",2016-12-15,11000,2.1,NA,NA
"469",2016-12-16,11000,1,NA,NA
"470",2016-12-17,11000,0.6,NA,NA
"471",2016-12-19,11000,2.3,NA,NA
"472",2016-12-20,11000,1.1,NA,NA
"473",2016-12-21,11000,0.7,NA,NA
"474",2016-12-22,11000,1.3,NA,NA
"475",2016-12-23,11000,0.7,NA,NA
"476",2016-12-24,11000,1.6,NA,NA
"477",2016-12-26,11000,1.1,NA,NA
"478",2016-12-27,11000,0.4,NA,NA
"479",2016-12-28,11000,1.5,NA,NA
"480",2016-12-29,11000,0.9,NA,NA
"481",2016-12-30,11000,1.4,NA,NA
"482",2016-12-31,11000,1.1,NA,NA
"483",2017-01-02,11000,2,NA,NA
"484",2017-01-03,11000,1,NA,NA
"485",2017-01-05,11000,1.2,NA,NA
"486",2017-01-06,11000,0.9,NA,NA
"487",2017-01-07,11000,1.8,NA,NA
"488",2017-01-09,11000,1.5,NA,NA
"489",2017-01-10,11000,0.7,NA,NA
"490",2017-01-11,11000,1.3,NA,NA
"491",2017-01-12,11000,0.9,NA,NA
"492",2017-01-13,11000,1.7,NA,NA
"493",2017-01-14,11000,2.1,NA,NA
"494",2017-01-16,11000,1.8,NA,NA
"495",2017-01-17,11000,0.6,NA,NA
"496",2017-01-18,11000,1.3,NA,NA
"497",2017-01-19,11000,2.1,NA,NA
"498",2017-01-20,11000,1,NA,NA
"499",2017-01-21,11000,1.4,NA,NA
"500",2017-01-23,11000,1.1,NA,NA
"501",2017-01-24,11000,0.8,NA,NA
"502",2017-01-25,11000,0.6,NA,NA
"503",2017-01-27,11000,0.9,NA,NA
"504",2017-01-28,11000,1.7,NA,NA
"505",2017-01-29,11000,1,NA,NA
"506",2017-01-30,11000,2.3,NA,NA
"507",2017-01-31,11000,1.2,NA,NA
"508",2017-05-01,11000,2.4,NA,NA
"509",2017-05-02,11000,1.8,NA,NA
"510",2017-05-03,11000,2.3,NA,NA
"511",2017-05-04,11000,2.7,NA,NA
"512",2017-05-05,7300,1,NA,NA
"513",2017-05-06,7300,1.5,NA,NA
"514",2017-05-07,7300,0.6,NA,NA
"515",2017-05-08,7300,1.3,NA,NA
"516",2017-05-09,7300,1.6,NA,NA
"517",2017-05-11,7300,1.2,NA,NA
"518",2017-05-12,7300,0.8,NA,NA
"519",2017-05-13,7300,0.5,NA,NA
"520",2017-05-15,7300,1,NA,NA
"521",2017-05-16,7300,2.1,NA,NA
"522",2017-05-17,7300,0.9,NA,NA
"523",2017-05-18,7300,1.3,NA,NA
