,ArrivalDate,Price,T,RA
536,2/21/2013,8100,20.8,0
537,2/22/2013,8100,21.7,0
538,2/26/2013,8100,22.2,0
539,2/27/2013,8100,23.3,0
540,2/28/2013,8100,23.3,0
541,3/1/2013,8150,23.2,0
542,3/7/2013,8150,22.8,0
543,3/8/2013,8150,23.9,0
544,3/11/2013,8150,22,1
545,3/12/2013,8150,21.4,0
546,3/13/2013,8150,24.3,0
547,3/14/2013,8150,24.6,0
548,3/15/2013,8000,25.6,0
549,3/18/2013,8000,20.8,1
550,3/19/2013,8200,19.5,1
551,3/20/2013,8200,22.3,0
552,3/21/2013,8000,23.5,1
553,3/22/2013,8000,17.9,1
554,3/25/2013,8000,21.2,1
555,3/26/2013,8000,21.4,1
556,3/28/2013,8000,25.3,0
557,4/1/2013,8000,22.6,1
558,4/2/2013,8000,22.1,0
559,4/3/2013,8000,20.7,1
560,4/4/2013,8000,19.6,1
561,4/8/2013,8000,21.9,0
562,4/9/2013,8000,23.1,1
563,4/10/2013,8000,21.3,1
564,4/12/2013,8000,22.5,1
565,4/15/2013,8000,20.5,1
566,4/17/2013,8000,22.4,1
567,4/18/2013,8000,23.3,1
568,4/22/2013,8000,22.7,1
569,4/25/2013,8000,28.1,0
570,4/26/2013,8000,28.3,0
571,4/29/2013,8000,26.5,1
572,4/30/2013,8000,27.1,1
573,5/2/2013,8000,21.2,1
574,5/3/2013,8000,23.5,1
575,5/6/2013,8000,24.4,1
576,5/7/2013,8000,24.4,1
577,5/9/2013,8000,25.8,0
578,5/10/2013,8000,26.7,0
579,5/14/2013,8000,22.5,1
580,5/20/2013,8000,27.3,0
581,5/21/2013,8000,29.1,0
582,5/22/2013,8000,28.7,1
583,5/23/2013,8000,27.2,1
584,5/24/2013,8000,26,1
585,5/27/2013,8000,29.5,1
586,5/28/2013,8000,28.8,1
587,5/29/2013,8000,29.1,0
588,5/30/2013,8000,29.4,1
589,5/31/2013,8000,27.1,1
590,6/3/2013,8000,29.8,1
591,6/4/2013,8000,27.9,1
592,6/5/2013,8000,30.2,0
593,6/6/2013,8000,28.8,1
594,6/7/2013,8000,29.4,1
595,6/10/2013,8000,30.3,1
596,6/11/2013,8000,32.3,0
597,6/12/2013,8000,32,0
598,6/13/2013,8000,31.3,0
599,6/14/2013,8000,31.7,0
